dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,436,sensitivity,0.3933160603046417,0.04935190350627861,bottleneck,0.0493519034876053,0.0493519034876053,0.049351903499623,0.0493519035062786,0.0493519034876053,0,0.5147500005477923,0.02249999943160219,0.6674579999526031,2.021250000325381,0.8430830002907896,0.1572499995745602,23.666707999836945,4.226291000122728,29.239709000648872
abilene,known,437,topk,0.33132442831993103,0.04958295178745479,sensitivity,0.049582951727636,0.0495829517329474,0.0495829517874547,0.049582951727636,0.0495829517926278,0,0.5022919995099073,0.018707999515754636,0.661666999803856,1.960958999916329,0.7547920004071784,0.1565000002301531,23.638665999897057,4.0549179993831785,28.850209000665927
abilene,known,438,sensitivity,0.35815590620040894,0.04810309437874383,sensitivity,0.0481030943787438,0.0481030943876234,0.0481030943891958,0.0481030943787438,0.0481030943886901,1,0.510625000060827,0.020625000615837052,0.6720419996781857,1.9550420001905877,0.7084999997459818,0.13175000003684545,23.067832999913662,3.9985840003282647,28.20458400037751
abilene,known,439,sensitivity,0.3611679971218109,0.04895751084771482,sensitivity,0.0489575108477148,0.0489575108488278,0.0489575108831022,0.0489575108477148,0.0489575108584761,1,0.5365000006349874,0.02233299983345205,0.6892089995744755,1.9222920000174781,0.8195830005206517,0.16412500008300412,23.495583000112674,4.154042000664049,28.83091700005025
abilene,known,440,topk,0.3887205719947815,0.0491478985821454,sensitivity,0.0491478984456166,0.0491478984716283,0.0491478985821454,0.0491478984456166,0.0491478984528424,0,0.5137919997650897,0.01912500010803342,0.6593750003958121,1.9139999994877144,0.7488749997719424,0.13945800037618028,23.137000000133412,3.9946249999047723,28.296374999627005
abilene,known,441,topk,0.3941141366958618,0.04832547464335001,bottleneck,0.0483254745462119,0.0483254745462119,0.04832547464335,0.0483254750444836,0.0483254745491935,0,0.511082999764767,0.02074999974865932,0.6700830008412595,1.8659170000319136,0.7752920000712038,0.1364170002489118,23.319542000535876,3.979542000706715,28.47124999971129
abilene,known,442,topk,0.37074556946754456,0.04848974229426798,sensitivity,0.0484897422917979,0.0484897423354258,0.0484897422942679,0.0484897422917979,0.0484897422943164,0,0.5381660002967692,0.020416000552359037,0.6809579999753623,2.037166999798501,0.8334169997397112,0.15370900018751854,25.699167000311718,4.263833000550221,31.22412499942584
abilene,known,443,sensitivity,0.390763521194458,0.048094139403823184,sensitivity,0.0480941394038231,0.0480941394300574,0.0480941394197572,0.0480941394038231,0.0480941394282465,1,0.5098749998069252,0.01941699974850053,0.6594999995286344,2.2421250005209004,1.337749999947846,0.19483400046738097,24.568458999965515,4.963501000020187,30.727833000128157
abilene,known,444,sensitivity,0.42161861062049866,0.04754191673361006,bottleneck,0.047541916643781,0.047541916643781,0.0475419167910745,0.04754191673361,0.047541916811196,0,0.5317089999152813,0.021500000002561137,0.9419590005563805,2.063125000859145,0.8447500003967434,0.1397500000166474,25.135707999652368,4.542793001746759,30.936540999391582
abilene,known,445,sensitivity,0.4904707670211792,0.04813883100502994,topk,0.048138830972917,0.048138831074493,0.048138830972917,0.0481388310050299,0.0481388309818035,0,0.5265830004645977,0.01912500010803342,0.7082920001266757,1.937500000167347,0.7885839995651622,0.1557080004204181,26.91004200005409,4.135792000852234,32.26162499959173
