dataset,topology_type,accuracy,metagate_mlu,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,t_decision_ms,t_lp_ms,t_total_ms,n_timesteps,best_forced_mlu,metagate_vs_oracle_gap_pct
abilene,known,0.4,0.054599098906176625,0.05459909886762703,0.05459909890160793,0.054639003127343905,0.05459909891826763,0.054599098908336724,4.0070066396341035,24.863128933842138,30.027108306918915,75,0.05459909890160793,7.06048174273323e-08
cernet,known,0.8933333333333333,1722.687331773437,1721.7269236433717,1722.687331773437,1760.0968998743974,1766.5408693059455,1738.2941139477605,26.391427412988076,41.24033941358599,79.94574942669715,75,1722.687331773437,0.05578167576267292
geant,known,0.8266666666666667,0.1601907481072557,0.1601907480583213,0.16019074810725564,0.16270839816636595,0.16314483663642587,0.16147991178693108,8.765133253570335,28.466270586504834,40.629849986774694,75,0.16019074810725564,3.0547589465134135e-08
germany50,unseen,0.6590909090909091,18.992148357902423,18.92928382179733,19.22733234146661,19.30947689894541,21.426632995567296,18.94052775357931,34.500176250648195,46.43483993186237,94.55061647730128,44,18.94052775357931,0.3321020314181287
rocketfuel_ebone,known,0.24,379.591501258141,379.591501209022,379.59150125349146,379.8138439595781,379.59150124493925,379.59150128039704,9.635078373976285,28.7344072398749,42.206298879755195,75,379.59150124493925,1.293996924556651e-08
rocketfuel_sprintlink,known,0.6666666666666666,880.260408829583,877.172552374098,880.260408829583,896.3297140053642,916.4257075458104,891.3968581602307,32.620702626154525,45.27913328012801,92.41114941377116,75,880.260408829583,0.3520238346637213
rocketfuel_tiscali,known,0.6533333333333333,834.783229492199,831.9308500648496,834.8513619923623,852.8821112716695,843.5189558909367,843.6141710713812,39.63476824006648,50.07056005333046,108.1086210933184,75,834.8513619923623,0.3428625620899968
topologyzoo_vtlwavenet2011,unseen,0.5066666666666667,12251.812404550476,12244.835810386137,12251.812404550476,12302.74677331773,12275.396851918296,12252.051041811164,226.14360496076793,144.98720555993108,452.2694850266271,75,12251.812404550476,0.056975808188629046
