topology,scenario,k,delay,phase1_mlu,current_apg_mlu,predictive_mlu,oracle_mlu,predictive_vs_phase1,predictive_vs_currapg,predictive_delta_mean_pct,abl_delta_mean_vs_currapg_pct
cernet,normal,40,0,1547.365062,1548.997327,1548.997327,1549.661953,TIE,TIE,+0.105,+0.000
cernet,normal,40,1,1535.550449,1539.870118,1539.870118,1539.870118,TIE,TIE,+0.281,+0.000
cernet,normal,40,2,1532.949728,1537.002692,1537.002692,1537.002692,TIE,TIE,+0.264,+0.000
cernet,ramp_up,10,0,1650.069280,1673.499209,1673.499209,1673.499209,TIE,TIE,+1.420,+0.000
cernet,ramp_up,10,1,1682.282541,1686.860237,1686.860237,1686.860237,TIE,TIE,+0.272,+0.000
cernet,ramp_up,10,2,1650.807146,1674.804623,1674.804623,1674.804623,TIE,TIE,+1.454,+0.000
cernet,ramp_up,20,0,1621.945354,1624.715138,1624.715138,1624.715138,TIE,TIE,+0.171,+0.000
cernet,ramp_up,20,1,1627.170193,1632.795372,1632.795372,1632.795372,TIE,TIE,+0.346,+0.000
cernet,ramp_up,20,2,1632.787201,1623.723942,1623.723942,1626.554711,TIE,TIE,-0.555,+0.000
cernet,ramp_up,40,0,1587.988577,1591.271973,1591.271973,1591.271973,TIE,TIE,+0.207,+0.000
cernet,ramp_up,40,1,1581.474545,1591.462259,1591.462259,1592.986793,TIE,TIE,+0.632,+0.000
cernet,ramp_up,40,2,1581.485730,1591.236613,1591.236613,1593.216449,TIE,TIE,+0.617,+0.000
cernet,spike_2x,10,0,1649.495089,1657.543732,1657.543732,1656.101447,TIE,TIE,+0.488,+0.000
cernet,spike_2x,10,1,1627.570404,1639.513016,1639.905320,1639.974345,TIE,TIE,+0.758,+0.024
cernet,spike_2x,10,2,1624.649358,1636.899088,1637.491834,1637.414936,TIE,TIE,+0.790,+0.036
cernet,spike_2x,20,0,1597.267297,1598.578374,1598.578374,1598.578374,TIE,TIE,+0.082,+0.000
cernet,spike_2x,20,1,1595.045168,1590.456534,1590.456534,1588.946564,TIE,TIE,-0.288,+0.000
cernet,spike_2x,20,2,1592.373781,1587.544229,1587.544229,1586.056335,TIE,TIE,-0.303,+0.000
cernet,spike_2x,40,0,1534.280310,1554.475705,1554.221467,1554.221467,LOSS,TIE,+1.300,-0.016
cernet,spike_2x,40,1,1561.197905,1561.246518,1561.246518,1561.246518,TIE,TIE,+0.003,+0.000
cernet,spike_2x,40,2,1558.761111,1559.227608,1559.227608,1559.227608,TIE,TIE,+0.030,+0.000
ebone,flash_crowd,10,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,+0.000,+0.000
ebone,flash_crowd,10,1,363.880448,363.872215,363.872215,363.872215,TIE,TIE,-0.002,+0.000
ebone,flash_crowd,10,2,362.432888,362.432888,362.432888,362.432888,TIE,TIE,+0.000,+0.000
ebone,flash_crowd,20,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,-0.000,+0.000
ebone,flash_crowd,20,1,363.404393,363.279769,363.537906,363.537906,TIE,TIE,+0.037,+0.071
ebone,flash_crowd,20,2,363.456886,363.478553,363.478553,363.448195,TIE,TIE,+0.006,+0.000
ebone,flash_crowd,40,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,+0.000,+0.000
ebone,flash_crowd,40,1,363.541346,363.115664,363.681482,363.115664,TIE,TIE,+0.039,+0.156
ebone,flash_crowd,40,2,363.048839,363.035427,363.035427,362.822749,TIE,TIE,-0.004,+0.000
ebone,normal,10,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,-0.000,+0.000
ebone,normal,10,1,363.392904,363.392904,363.392904,363.392904,TIE,TIE,+0.000,+0.000
ebone,normal,10,2,362.727318,362.725093,362.725093,362.725093,TIE,TIE,-0.001,+0.000
ebone,normal,20,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,+0.000,-0.000
ebone,normal,20,1,363.921768,363.833981,363.833981,363.833981,TIE,TIE,-0.024,+0.000
ebone,normal,20,2,362.604728,363.286585,362.756714,362.756714,TIE,TIE,+0.042,-0.146
ebone,normal,40,0,360.620899,360.620899,360.620899,360.620899,TIE,TIE,-0.000,-0.000
ebone,normal,40,1,363.421877,363.340294,363.340294,363.170973,TIE,TIE,-0.022,+0.000
ebone,normal,40,2,363.411704,363.128092,363.289283,363.128092,TIE,TIE,-0.034,+0.044
ebone,ramp_up,10,0,388.505933,388.505933,388.505933,388.505933,TIE,TIE,+0.000,+0.000
ebone,ramp_up,10,1,392.598658,392.598658,392.598658,392.598658,TIE,TIE,+0.000,+0.000
ebone,ramp_up,10,2,392.990517,392.779652,392.779652,392.779652,TIE,TIE,-0.054,+0.000
ebone,ramp_up,20,0,388.505933,388.505933,388.505933,388.505933,TIE,TIE,-0.000,-0.000
ebone,ramp_up,20,1,394.274156,392.929465,392.929465,392.929465,TIE,TIE,-0.341,+0.000
ebone,ramp_up,20,2,394.128205,395.079249,394.055595,394.055595,TIE,TIE,-0.018,-0.259
ebone,ramp_up,40,0,388.505933,388.505933,388.505933,388.505933,TIE,TIE,+0.000,-0.000
ebone,ramp_up,40,1,393.136343,393.882102,393.882102,392.828257,TIE,TIE,+0.190,+0.000
ebone,ramp_up,40,2,395.486215,393.538346,394.797730,393.538346,TIE,TIE,-0.174,+0.320
ebone,spike_2x,10,0,363.261430,363.261430,363.261430,363.261430,TIE,TIE,+0.000,+0.000
ebone,spike_2x,10,1,366.754520,367.169775,367.169775,367.169775,TIE,TIE,+0.113,+0.000
ebone,spike_2x,10,2,365.485193,365.485193,365.485193,365.485193,TIE,TIE,+0.000,+0.000
ebone,spike_2x,20,0,363.261430,363.261430,363.261430,363.261430,TIE,TIE,-0.000,+0.000
ebone,spike_2x,20,1,366.274054,366.657741,366.767949,366.767949,TIE,TIE,+0.135,+0.030
ebone,spike_2x,20,2,367.230749,367.277369,367.277369,367.259311,TIE,TIE,+0.013,+0.000
ebone,spike_2x,40,0,363.261430,363.261430,363.261430,363.261430,TIE,TIE,+0.000,+0.000
ebone,spike_2x,40,1,366.979117,366.657229,367.060399,366.657229,TIE,TIE,+0.022,+0.110
ebone,spike_2x,40,2,366.391743,366.442712,366.442712,366.168257,LOSS,TIE,+0.014,+0.000
geant,flash_crowd,10,0,0.154364,0.152393,0.152393,0.152393,WIN,TIE,-1.277,+0.000
geant,flash_crowd,10,1,0.158027,0.156758,0.156758,0.156758,WIN,TIE,-0.803,+0.000
geant,flash_crowd,10,2,0.161412,0.158767,0.158767,0.158767,WIN,TIE,-1.638,+0.000
geant,flash_crowd,20,0,0.152315,0.150383,0.150383,0.150383,TIE,TIE,-1.268,+0.000
geant,flash_crowd,20,1,0.157269,0.154897,0.154897,0.154897,TIE,TIE,-1.508,+0.000
geant,flash_crowd,20,2,0.159872,0.157324,0.157324,0.159045,TIE,TIE,-1.594,+0.000
geant,flash_crowd,40,0,0.149469,0.148576,0.148576,0.148576,TIE,TIE,-0.598,+0.000
geant,flash_crowd,40,1,0.153161,0.152894,0.152894,0.153242,TIE,TIE,-0.174,+0.000
geant,flash_crowd,40,2,0.155226,0.155357,0.155357,0.155357,TIE,TIE,+0.084,+0.000
geant,normal,10,0,0.152397,0.152393,0.152393,0.152393,TIE,TIE,-0.003,+0.000
geant,normal,10,1,0.159430,0.156758,0.156758,0.156758,WIN,TIE,-1.676,+0.000
geant,normal,10,2,0.161412,0.158767,0.158767,0.158767,WIN,TIE,-1.638,+0.000
geant,normal,20,0,0.152315,0.150383,0.150383,0.150383,TIE,TIE,-1.268,+0.000
geant,normal,20,1,0.157276,0.154899,0.154899,0.154899,TIE,TIE,-1.511,+0.000
geant,normal,20,2,0.159870,0.157316,0.157316,0.159037,TIE,TIE,-1.597,+0.000
geant,normal,40,0,0.148936,0.148243,0.148243,0.148243,TIE,TIE,-0.465,+0.000
geant,normal,40,1,0.154483,0.153267,0.153267,0.152964,TIE,TIE,-0.787,+0.000
geant,normal,40,2,0.156789,0.155454,0.155454,0.154865,WIN,TIE,-0.851,+0.000
geant,ramp_up,10,0,0.236154,0.236154,0.236154,0.236154,TIE,TIE,-0.000,+0.000
geant,ramp_up,10,1,0.245097,0.243857,0.243857,0.243857,TIE,TIE,-0.506,+0.000
geant,ramp_up,10,2,0.249242,0.248728,0.248728,0.248728,TIE,TIE,-0.206,+0.000
geant,ramp_up,20,0,0.236154,0.234222,0.234222,0.234222,TIE,TIE,-0.818,+0.000
geant,ramp_up,20,1,0.244729,0.242743,0.242743,0.242571,TIE,TIE,-0.812,+0.000
geant,ramp_up,20,2,0.249560,0.248090,0.248090,0.247990,TIE,TIE,-0.589,+0.000
geant,ramp_up,40,0,0.232458,0.232082,0.232082,0.232082,TIE,TIE,-0.161,+0.000
geant,ramp_up,40,1,0.242487,0.241246,0.241246,0.240164,TIE,TIE,-0.512,+0.000
geant,ramp_up,40,2,0.247816,0.245492,0.245492,0.245492,TIE,TIE,-0.938,+0.000
geant,spike_2x,10,0,0.170523,0.168552,0.168552,0.168552,TIE,TIE,-1.156,+0.000
geant,spike_2x,10,1,0.174813,0.173445,0.173445,0.173445,TIE,TIE,-0.783,+0.000
geant,spike_2x,10,2,0.177702,0.175829,0.175829,0.175829,TIE,TIE,-1.054,+0.000
geant,spike_2x,20,0,0.168474,0.166542,0.166542,0.166542,TIE,TIE,-1.147,+0.000
geant,spike_2x,20,1,0.174051,0.171422,0.171422,0.171422,TIE,TIE,-1.511,+0.000
geant,spike_2x,20,2,0.177118,0.174041,0.174041,0.175762,TIE,TIE,-1.737,+0.000
geant,spike_2x,40,0,0.165628,0.164735,0.164735,0.164735,TIE,TIE,-0.539,+0.000
geant,spike_2x,40,1,0.171299,0.169851,0.170349,0.170458,TIE,TIE,-0.555,+0.293
geant,spike_2x,40,2,0.174145,0.172165,0.173216,0.173437,TIE,TIE,-0.533,+0.611
germany50,flash_crowd,10,0,20.282711,19.788594,19.788594,19.788594,TIE,TIE,-2.436,+0.000
germany50,flash_crowd,10,1,21.333112,20.876149,20.876149,20.876149,TIE,TIE,-2.142,+0.000
germany50,flash_crowd,10,2,21.718492,21.289308,21.289308,21.289308,TIE,TIE,-1.976,+0.000
germany50,flash_crowd,20,0,19.663172,19.036915,18.995733,19.039509,WIN,TIE,-3.394,-0.216
germany50,flash_crowd,20,1,20.576818,20.153676,20.151805,20.132912,WIN,TIE,-2.065,-0.009
germany50,flash_crowd,20,2,21.024672,20.252805,20.252805,20.685165,WIN,TIE,-3.671,+0.000
germany50,flash_crowd,40,0,18.935455,18.868794,18.868794,18.868794,TIE,TIE,-0.352,+0.000
germany50,flash_crowd,40,1,20.040359,19.849095,19.849095,19.890437,TIE,TIE,-0.954,+0.000
germany50,flash_crowd,40,2,20.705942,20.306185,20.306185,20.380166,TIE,TIE,-1.931,+0.000
germany50,normal,10,0,20.282711,19.788594,19.788594,19.788594,TIE,TIE,-2.436,+0.000
germany50,normal,10,1,21.333112,20.876149,20.876149,20.876149,TIE,TIE,-2.142,+0.000
germany50,normal,10,2,21.718492,21.289308,21.289308,21.289308,TIE,TIE,-1.976,+0.000
germany50,normal,20,0,19.663172,19.036915,18.995733,19.039509,WIN,TIE,-3.394,-0.216
germany50,normal,20,1,20.576818,20.153676,20.151805,20.132912,WIN,TIE,-2.065,-0.009
