topology,scenario,k,delay,phase1_mlu,current_apg_mlu,predictive_mlu,oracle_mlu,predictive_vs_phase1,predictive_vs_currapg,predictive_delta_mean_pct,abl_delta_mean_vs_currapg_pct
vtlwavenet2011,flash_crowd,10,0,11253.748226,11287.730969,11287.730969,11287.730969,TIE,TIE,+0.302,+0.000
vtlwavenet2011,flash_crowd,10,1,11208.833417,11238.921236,11238.921236,11238.921236,TIE,TIE,+0.268,+0.000
vtlwavenet2011,flash_crowd,10,2,11168.021701,11197.851094,11197.851094,11197.851094,TIE,TIE,+0.267,+0.000
vtlwavenet2011,flash_crowd,20,0,11252.984602,11223.880191,11223.880191,11223.880191,TIE,TIE,-0.259,+0.000
vtlwavenet2011,flash_crowd,20,1,11208.094883,11193.684837,11193.684837,11193.684837,TIE,TIE,-0.129,+0.000
vtlwavenet2011,flash_crowd,20,2,11167.020240,11151.576254,11151.576254,11151.576254,TIE,TIE,-0.138,+0.000
vtlwavenet2011,flash_crowd,40,0,11194.274699,11194.274699,11194.274699,11194.274699,TIE,TIE,+0.000,+0.000
vtlwavenet2011,flash_crowd,40,1,11169.958370,11169.958370,11169.958370,11169.958370,TIE,TIE,+0.000,+0.000
vtlwavenet2011,flash_crowd,40,2,11125.523181,11125.523181,11125.523181,11125.523181,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,10,0,11253.748226,11287.730969,11287.730969,11287.730969,TIE,TIE,+0.302,+0.000
vtlwavenet2011,normal,10,1,11208.833417,11238.921236,11238.921236,11238.921236,TIE,TIE,+0.268,+0.000
vtlwavenet2011,normal,10,2,11168.021701,11197.851094,11197.851094,11197.851094,TIE,TIE,+0.267,+0.000
vtlwavenet2011,normal,20,0,11252.984602,11222.718120,11222.718120,11222.718120,TIE,TIE,-0.269,+0.000
vtlwavenet2011,normal,20,1,11208.094883,11192.655999,11192.655999,11192.655999,TIE,TIE,-0.138,+0.000
vtlwavenet2011,normal,20,2,11167.020240,11150.684133,11150.684133,11150.684133,TIE,TIE,-0.146,+0.000
vtlwavenet2011,normal,40,0,11193.112628,11193.112628,11193.112628,11193.112628,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,40,1,11168.838141,11168.838141,11168.838141,11168.838141,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,40,2,11124.943072,11124.943072,11124.943072,11124.943072,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,10,0,11403.092153,11381.343015,11381.343015,11381.343015,TIE,TIE,-0.191,+0.000
vtlwavenet2011,ramp_up,10,1,11357.344581,11336.122672,11336.122672,11336.122672,TIE,TIE,-0.187,+0.000
vtlwavenet2011,ramp_up,10,2,11320.599103,11299.131956,11299.131956,11299.131956,TIE,TIE,-0.190,+0.000
vtlwavenet2011,ramp_up,20,0,11345.218356,11329.426204,11329.426204,11329.426204,TIE,TIE,-0.139,+0.000
vtlwavenet2011,ramp_up,20,1,11304.991008,11289.843188,11289.843188,11289.843188,TIE,TIE,-0.134,+0.000
vtlwavenet2011,ramp_up,20,2,11267.935251,11251.992326,11251.992326,11251.992326,TIE,TIE,-0.141,+0.000
vtlwavenet2011,ramp_up,40,0,11290.864271,11290.864271,11290.864271,11290.864271,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,40,1,11259.242660,11259.242660,11259.242660,11259.242660,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,40,2,11219.419331,11219.419331,11219.419331,11219.419331,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,10,0,11272.288338,11305.742403,11305.742403,11305.742403,TIE,TIE,+0.297,+0.000
vtlwavenet2011,spike_2x,10,1,11227.373529,11256.054808,11256.054808,11256.054808,TIE,TIE,+0.255,+0.000
vtlwavenet2011,spike_2x,10,2,11186.561814,11214.786307,11214.786307,11214.786307,TIE,TIE,+0.252,+0.000
vtlwavenet2011,spike_2x,20,0,11248.520463,11271.524714,11271.524714,11271.524714,TIE,TIE,+0.205,+0.000
vtlwavenet2011,spike_2x,20,1,11216.939057,11226.634995,11226.634995,11226.634995,TIE,TIE,+0.086,+0.000
vtlwavenet2011,spike_2x,20,2,11177.006528,11185.560352,11185.560352,11185.560352,TIE,TIE,+0.077,+0.000
vtlwavenet2011,spike_2x,40,0,11207.849453,11207.849453,11207.849453,11207.849453,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,40,1,11181.949259,11181.949259,11181.949259,11181.949259,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,40,2,11139.193024,11139.193024,11139.193024,11139.193024,TIE,TIE,+0.000,+0.000
