topology,scenario,k,delay,verdict,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_07,delta_overload_09,delta_disturb_pct,wins_metrics,losses_metrics,oracle_delta_mean_pct
cernet,flash_crowd,5,0,LOSS,+4.564,+4.084,+3.432,2,2,-73.821,,mean+p95+peak+overload07+overload09,+4.564
cernet,flash_crowd,5,1,LOSS,+4.286,+3.933,+3.321,2,2,-73.821,,mean+p95+peak+overload07+overload09,+4.286
cernet,flash_crowd,5,2,LOSS,+4.228,+3.699,+3.286,2,2,-73.821,,mean+p95+peak+overload07+overload09,+4.228
cernet,flash_crowd,10,0,LOSS,+7.133,+6.863,+6.079,3,2,-44.915,,mean+p95+peak+overload07+overload09,+7.133
cernet,flash_crowd,10,1,WIN,+6.766,+6.357,+7.491,-1,1,-45.034,overload07,mean+p95+peak+overload09,+6.766
cernet,flash_crowd,10,2,LOSS,+6.696,+7.060,+6.465,0,1,-45.570,,mean+p95+peak+overload09,+6.696
cernet,flash_crowd,20,0,LOSS,+10.489,+10.135,+11.031,0,2,-30.842,,mean+p95+peak+overload09,+10.489
cernet,flash_crowd,20,1,LOSS,+9.934,+9.887,+9.466,0,2,-30.739,,mean+p95+peak+overload09,+9.934
cernet,flash_crowd,20,2,LOSS,+9.917,+11.063,+9.907,0,2,-30.929,,mean+p95+peak+overload09,+9.917
cernet,flash_crowd,40,0,WIN,+14.858,+15.011,+15.919,-3,2,-42.905,overload07,mean+p95+peak+overload09,+14.883
cernet,flash_crowd,40,1,WIN,+13.939,+15.588,+14.149,-2,2,-44.337,overload07,mean+p95+peak+overload09,+13.939
cernet,flash_crowd,40,2,WIN,+13.915,+15.580,+14.574,-3,1,-44.336,overload07,mean+p95+peak+overload09,+13.888
cernet,normal,5,0,LOSS,+4.094,+4.084,+3.432,2,0,-72.170,,mean+p95+peak+overload07,+4.094
cernet,normal,5,1,LOSS,+3.970,+3.933,+3.321,2,1,-72.170,,mean+p95+peak+overload07+overload09,+3.970
cernet,normal,5,2,LOSS,+4.040,+3.699,+3.286,2,2,-72.170,,mean+p95+peak+overload07+overload09,+4.040
cernet,normal,10,0,WIN,+6.596,+6.863,+6.079,3,-1,-43.565,overload09,mean+p95+peak+overload07,+6.596
cernet,normal,10,1,WIN,+6.388,+6.357,+7.491,-1,-2,-43.689,overload07+overload09,mean+p95+peak,+6.388
cernet,normal,10,2,WIN,+6.441,+7.060,+6.465,0,-1,-43.351,overload09,mean+p95+peak,+6.441
cernet,normal,20,0,LOSS,+10.006,+10.135,+11.031,0,0,-31.518,,mean+p95+peak,+10.006
cernet,normal,20,1,LOSS,+9.605,+9.887,+9.466,0,1,-31.294,,mean+p95+peak+overload09,+9.605
